code,trump_diff
us-al-001,13.410117375494647
us-al-003,-20.933587793895512
us-al-005,9.432919583384763
us-al-007,-0.6531567597182986
us-al-009,-0.8401273204055149
us-al-011,4.386612561088851
us-al-013,9.075130264369674
us-al-015,-1.5483442062917296
us-al-017,-1.210935734246632
us-al-019,-0.13680815815000358
us-al-021,-0.9350841540460841
us-al-023,56.30828304991772
us-al-025,20.014056863697444
us-al-027,-0.6564540531931895
us-al-029,-0.5278145858628958
us-al-031,21.732868132683734
us-al-033,-30.910454769517326
us-al-035,4.891763378375824
us-al-037,-0.9790089105629396
us-al-039,20.085512291426454
us-al-041,17.256171658864993
us-al-043,-11.96875580293587
us-al-045,23.71048692350801
us-al-047,30.8056619838229
us-al-049,-15.505504580280437
us-al-051,16.693963794974664
us-al-053,-31.186112385595656
us-al-055,-24.4428260137994
us-al-057,-17.758616921808922
us-al-059,-20.018267363034546
us-al-061,35.60639156282811
us-al-063,17.172131147540984
us-al-065,39.46517412935324
us-al-067,24.994388661303695
us-al-069,26.709714955021983
us-al-071,2.1332202272988376
us-al-073,1.219352533333995
us-al-075,-15.449245194181426
us-al-077,1.3116434711765157
us-al-079,-25.705997613250485
us-al-081,-4.9666788354992715
us-al-083,-1.736560086119554
us-al-085,26.196888090963494
us-al-087,-2.1075062211520863
us-al-089,-5.409765634251096
us-al-091,47.598690194651624
us-al-093,-12.117700809350197
us-al-095,-15.915196490359563
us-al-097,-40.147150285731726
us-al-099,-41.1681766274001
us-al-101,1.0358552053042258
us-al-103,-1.7672324910774084
us-al-105,26.657824933687003
us-al-107,57.17878851393837
us-al-109,10.315328933186784
us-al-111,-0.15895767015750017
us-al-113,-2.6840881292110543
us-al-115,-1.5509816049439906
us-al-117,-5.333422681361267
us-al-119,24.66073935423491
us-al-121,-1.1417594870290704
us-al-123,-0.9666445431372961
us-al-125,19.675673717984303
us-al-127,-16.168956032924076
us-al-129,-27.890689267412817
us-al-131,28.391631252043155
us-al-133,-9.368903699935782
us-az-001,1.8682812425085293
us-az-003,-12.021475929210713
us-az-005,1.9479697298367404
us-az-007,-23.794759290751937
us-az-009,-17.584857203956272
us-az-011,-10.768404342318366
us-az-012,-3.123745279096013
us-az-013,-5.819850271345972
us-az-015,-2.1132399343708252
us-az-017,7.397299076996289
us-az-019,-5.290075307723607
us-az-021,-1.1124589154464237
us-az-023,21.392802917895608
us-az-025,-3.9931824991375042
us-az-027,11.507434132462185
us-ar-001,-13.253604786122498
us-ar-003,-10.015347023774634
us-ar-005,-5.647142093481383
us-ar-007,-15.313927394932247
us-ar-009,-10.248542442689978
us-ar-011,-16.05404733553739
us-ar-013,-10.533979374349855
us-ar-015,-10.782864354606769
us-ar-017,-14.451951612660253
us-ar-019,-16.670601926729177
us-ar-021,-12.06129104813315
us-ar-023,-5.187047426707303
us-ar-025,-10.073091672517565
us-ar-027,-12.573082374726962
us-ar-029,-2.292080094002269
us-ar-031,-13.341551347064783
us-ar-033,-8.883562936598267
us-ar-035,-12.028053640274505
us-ar-037,-12.619910269312385
us-ar-039,-14.75474348281175
us-ar-041,-17.124024090891805
us-ar-043,-12.345217956449817
us-ar-045,-3.9841164424095132
us-ar-047,-6.52424835694908
us-ar-049,-8.076886708914966
us-ar-051,-12.87799529842385
us-ar-053,-4.837461817987931
us-ar-055,-10.63446861603239
us-ar-057,-14.188988766943089
us-ar-059,-7.744650299877465
us-ar-061,-12.942167082347423
us-ar-063,-5.369611729529433
us-ar-065,-8.616163113057528
us-ar-067,-16.188460457506892
us-ar-069,-15.94128279495064
us-ar-071,-8.076609346173846
us-ar-073,-12.847758662265196
us-ar-075,-11.840776814445475
us-ar-077,-15.087246622609069
us-ar-079,-8.640786493153952
us-ar-081,-8.761285072429569
us-ar-083,-7.312182838822324
us-ar-085,-7.793403517728825
us-ar-087,-4.137033188615879
us-ar-089,-7.639519194508848
us-ar-091,-6.845513716454088
us-ar-093,-19.52590231325898
us-ar-095,-18.008774219135525
us-ar-097,-6.974369145501158
us-ar-099,-9.624333895148773
us-ar-101,-5.264792074452151
us-ar-103,-16.405396136836337
us-ar-105,-1.6335487043805386
us-ar-107,-16.500967890962738
us-ar-109,-5.646818351657856
us-ar-111,-10.54780110024305
us-ar-113,-2.897642813155721
us-ar-115,-10.770790846666712
us-ar-117,-11.60025140034403
us-ar-119,-8.812524399071082
us-ar-121,-11.251165812707885
us-ar-123,-15.220656414067719
us-ar-125,-2.9181248372099233
us-ar-127,-5.677486706367574
us-ar-129,-4.024567342172358
us-ar-131,-12.690841045704904
us-ar-133,-10.216825464679857
us-ar-135,-8.39530271226484
us-ar-137,-6.728217834948158
us-ar-139,-13.316202928416065
us-ar-141,0.6863270763307061
us-ar-143,-20.572690919663515
us-ar-145,-0.13551824239524946
us-ar-147,-18.874804485989284
us-ar-149,-8.826640641035432
us-ca-001,0.09021340537280209
us-ca-003,-8.285129658049033
us-ca-005,-7.076202832792888
us-ca-007,-3.9056531864390065
us-ca-009,-6.2027840159775804
us-ca-011,1.7990602693127467
us-ca-013,-4.878641940738904
us-ca-015,6.305125349718871
us-ca-017,-9.320169437858095
us-ca-019,-13.365763955191134
us-ca-021,-6.113994985394633
us-ca-023,2.8075081358055476
us-ca-025,-4.291741014873107
us-ca-027,-9.12212845213498
us-ca-029,-13.079394249005826
us-ca-031,-17.362174604175152
us-ca-033,6.549269024669546
us-ca-035,-4.37628599583223
us-ca-037,1.7078585451538038
us-ca-039,-8.575208238691145
us-ca-041,-1.385044871976543
us-ca-043,-5.942689086344877
us-ca-045,1.7325652169094707
us-ca-047,-5.711707324177018
us-ca-049,-2.4843580137153154
us-ca-051,-9.611086605990193
us-ca-053,-6.164578708192886
us-ca-055,4.825852983899664
us-ca-057,-5.804453668518306
us-ca-059,-6.666192707984486
us-ca-061,-10.381878442812376
us-ca-063,-6.091592035457882
us-ca-065,-1.3574026971436282
us-ca-067,-4.928783143671889
us-ca-069,-4.806624064361959
us-ca-071,-6.683952998299586
us-ca-073,-6.928601861619238
us-ca-075,7.5230942753149845
us-ca-077,-5.9692896887051985
us-ca-079,-9.895748267113785
us-ca-081,-2.3522723385470483
us-ca-083,-11.058946029905547
us-ca-085,0.12629864733096907
us-ca-087,-6.662079934726636
us-ca-089,-1.2898238323577615
us-ca-091,-6.638228126022494
us-ca-093,-5.688409346944545
us-ca-095,-0.7859228177055477
us-ca-097,-1.0203756780492705
us-ca-099,-6.470206052211397
us-ca-101,3.13522744678969
us-ca-103,-1.534724771604501
us-ca-105,2.3397700277527744
us-ca-107,-14.002815377795997
us-ca-109,-5.619456302724435
us-ca-111,-4.7361440260491605
us-ca-113,-3.2818338995563634
us-ca-115,2.1901755239537857
us-co-001,-1.277194026882006
us-co-003,-2.3806199851818532
us-co-005,-9.223421981727942
us-co-007,-1.6817427261369366
us-co-009,-0.12235151824985246
us-co-011,-2.5257071229170536
us-co-013,-3.829612012049624
us-co-014,-2.928170922349649
us-co-015,-5.488357162623375
us-co-017,-0.9270727486278885
us-co-019,1.4448598407921842
us-co-021,0.512024722648674
us-co-023,2.166055920887505
us-co-025,-0.8908708318008385
us-co-027,-2.7034304019347366
us-co-029,2.386686963453666
us-co-031,-4.129967958009129
us-co-033,11.062004029707683
us-co-035,-9.655488132750346
us-co-037,-3.4967659133596287
us-co-039,-4.277773614719971
us-co-041,-5.600334333413926
us-co-043,-0.7492314888066232
us-co-045,-0.5794364451839673
us-co-047,2.9354648272433503
us-co-049,0.5321718714727197
us-co-051,-0.05097694001477415
us-co-053,-2.5822787764222643
us-co-055,-3.7473253495854952
us-co-057,-0.7178674010863251
