code,split_index
us-co-079,0.051327646
us-co-081,0.04733369
us-co-083,0.043609692
us-co-085,0.007516457
us-co-087,0.043695255
us-co-089,0.034838153
us-co-091,0.038528792
us-co-093,0.005911736
us-co-095,0.04224874
us-co-097,0.02563562
us-co-099,0.095304222
us-co-101,0.086933523
us-co-103,0.021109669
us-co-105,0.027894977
us-co-107,0.049768883
us-co-109,0.07846816
us-co-111,0.036143514
us-co-113,0.032539028
us-co-115,0.053511558
us-co-117,0.015439122
us-co-119,0.022888503
us-co-121,0.034624509
us-co-123,0.073757333
us-co-125,0.038977931
us-ct-001,0.029148039
us-ct-003,0.051014821
us-ct-005,0.105562018
us-ct-007,0.128155667
us-ct-009,0.143698398
us-ct-011,0.232439064
us-ct-013,0.159048786
us-ct-015,0.246772523
us-de-001,0.011257543
us-de-003,0.011648565
us-de-005,0.052176068
us-dc-001,
us-dc-001,
us-fl-001,0.054661157
us-fl-003,0.087423996
us-fl-005,0.034421215
us-fl-007,0.038393662
us-fl-009,0.07378775
us-fl-011,0.035089188
us-fl-013,0.026919215
us-fl-015,0.015779319
us-fl-017,0.007937568
us-fl-019,0.012336602
us-fl-021,0.09563609
us-fl-023,0.027315897
us-fl-027,0.014107989
us-fl-029,0.059817077
us-fl-031,0.093455304
us-fl-033,0.031705525
us-fl-035,0.026081055
us-fl-037,0.022573364
us-fl-039,0.116693017
us-fl-041,0.023686819
us-fl-043,0.019577684
us-fl-045,0.005541708
us-fl-047,0.176776096
us-fl-049,0.034035185
us-fl-051,0.033563348
us-fl-053,0.016486143
us-fl-055,0.011074126
us-fl-057,0.0272075
us-fl-059,0.053826623
us-fl-061,0.074907942
us-fl-063,0.016610478
us-fl-065,0.145860908
us-fl-067,0.047279704
us-fl-069,0.030236359
us-fl-071,0.06527693
us-fl-073,0.022745909
us-fl-075,0.020367986
us-fl-077,0.082545194
us-fl-079,0.122127696
us-fl-081,0.075794302
us-fl-083,0.008534206
us-fl-085,0.018768273
us-fl-086,0.313256958
us-fl-087,0.085430772
us-fl-089,0.071791737
us-fl-091,0.031976247
us-fl-093,0.009268493
us-fl-095,0.028703174
us-fl-097,0.019920997
us-fl-099,0.027790587
us-fl-101,0.118548045
us-fl-103,0.057528961
us-fl-105,0.020838357
us-fl-107,0.110725716
us-fl-109,0.083329556
us-fl-111,0.015911179
us-fl-113,0.03092053
us-fl-115,0.056406713
us-fl-117,0.040366782
us-fl-119,0.027495389
us-fl-121,0.022148061
us-fl-123,0.054328464
us-fl-125,0.039557393
us-fl-127,0.025514413
us-fl-129,0.028387588
us-fl-131,0.015955334
us-fl-133,0.004838951
us-ga-001,0.026225855
us-ga-003,0.011535885
us-ga-005,0.23880597
us-ga-007,0.142628205
us-ga-009,0.769669893
us-ga-011,0.169605735
us-ga-013,0.386854783
