code,clinton_diff
us-al-001,-7.5111679970839065
us-al-003,19.3856010082445
us-al-005,-6.199609601735162
us-al-007,-1.5207579354691054
us-al-009,-1.2097180491268524
us-al-011,-3.452543558492438
us-al-013,-6.422674177863036
us-al-015,-1.96374295070601
us-al-017,-0.6364664664507191
us-al-019,-1.9189146170126625
us-al-021,-1.0496086101910858
us-al-023,-55.24042095045508
us-al-025,-19.552905107811004
us-al-027,-1.4262156925200413
us-al-029,-1.609153280259254
us-al-031,-9.436567957834214
us-al-033,29.34778246036524
us-al-035,-5.482364139012629
us-al-037,-0.6568292190332614
us-al-039,-9.905951926555401
us-al-041,-10.379755072200613
us-al-043,10.028252316954031
us-al-045,-10.192396327029993
us-al-047,-30.361976886653032
us-al-049,14.02462634554325
us-al-051,-6.9540692733299885
us-al-053,31.020545638262043
us-al-055,23.64369169459288
us-al-057,16.5110922536065
us-al-059,18.24750830564784
us-al-061,-18.47290207618538
us-al-063,-17.17551658136084
us-al-065,-39.021877240201064
us-al-067,-12.026956461136223
us-al-069,-11.63602566465402
us-al-071,-5.048870279598414
us-al-073,-4.9232186143358
us-al-075,14.872236577662933
us-al-077,-5.438007952181723
us-al-079,24.458830669633823
us-al-081,-0.48857048228415634
us-al-083,-2.5120494879118107
us-al-085,-25.77970914590546
us-al-087,0.6206721297974171
us-al-089,-1.1678252803241251
us-al-091,-47.068895249757624
us-al-093,11.028958718422674
us-al-095,13.92286782195039
us-al-097,41.7895413258306
us-al-099,42.177003212929606
us-al-101,-1.7613330546403239
us-al-103,-1.9178824993293486
us-al-105,-26.703243332675097
us-al-107,-53.10601689045528
us-al-109,-7.809138810510468
us-al-111,-1.615082985008115
us-al-113,0.3858810229970644
us-al-115,-1.3455689984001902
us-al-117,0.22679334716731725
us-al-119,-25.16664767223702
us-al-121,-0.7852130539694802
us-al-123,-0.8643512617784954
us-al-125,-20.455461701446936
us-al-127,15.258550488599349
us-al-129,27.82139927340912
us-al-131,-28.142737460499667
us-al-133,8.455347619509357
us-az-001,-4.259338445530014
us-az-003,3.07815892431218
us-az-005,-5.451280309711937
us-az-007,-16.352943952588543
us-az-009,-20.439018286816022
us-az-011,-24.82068573100114
us-az-012,-3.144108863064965
us-az-013,4.827651267444855
us-az-015,-3.1199806772569034
us-az-017,-8.586407372721405
us-az-019,-1.1006667101469358
us-az-021,-2.7472102448762525
us-az-023,-26.53334328002591
us-az-025,-1.6407855304133134
us-az-027,-17.61948846183401
us-ar-001,31.2137797810689
us-ar-003,29.79091921316343
us-ar-005,21.091773752909035
us-ar-007,28.92361398000496
us-ar-009,18.16150456210043
us-ar-011,36.05255954010402
us-ar-013,28.162185985015427
us-ar-015,31.065253764640268
us-ar-017,56.27394636015326
us-ar-019,42.45836265540699
us-ar-021,23.057692307692307
us-ar-023,17.385188249896565
us-ar-025,21.556350626118068
us-ar-027,35.332508157983575
us-ar-029,1.1823789597582735
us-ar-031,29.623590925702075
us-ar-033,19.99109131403118
us-ar-035,52.720661985957875
us-ar-037,29.080593540878674
us-ar-039,42.042583904727536
