,name,code,split_index
116,"Jefferson County, AR",us-ar-069,0.4639621443934703
117,"Johnson County, AR",us-ar-071,0.21394212506841098
118,"Lafayette County, AR",us-ar-073,0.30889716704223236
119,"Lawrence County, AR",us-ar-075,0.2294895623397054
120,"Lee County, AR",us-ar-077,0.43755455479185407
121,"Lincoln County, AR",us-ar-079,0.2500252198714245
122,"Little River County, AR",us-ar-081,0.2212459098404235
123,"Logan County, AR",us-ar-083,0.181378361654225
124,"Lonoke County, AR",us-ar-085,0.18243588019573842
125,"Madison County, AR",us-ar-087,0.15743523467814827
126,"Marion County, AR",us-ar-089,0.17728164192398255
127,"Miller County, AR",us-ar-091,0.20123122317535438
128,"Mississippi County, AR",us-ar-093,0.40996668747672793
129,"Monroe County, AR",us-ar-095,0.40754960072117496
130,"Montgomery County, AR",us-ar-097,0.17482938968485143
131,"Nevada County, AR",us-ar-099,0.27446268583996586
132,"Newton County, AR",us-ar-101,0.14577342034484125
133,"Ouachita County, AR",us-ar-103,0.3815174742017806
134,"Perry County, AR",us-ar-105,0.025120446647412198
135,"Phillips County, AR",us-ar-107,0.47494783510119937
136,"Pike County, AR",us-ar-109,0.14250184340102973
137,"Poinsett County, AR",us-ar-111,0.2272081327325522
138,"Polk County, AR",us-ar-113,0.1026005321286414
139,"Pope County, AR",us-ar-115,0.21847932058062874
140,"Prairie County, AR",us-ar-117,0.23417905291168653
141,"Pulaski County, AR",us-ar-119,0.1255973301501365
142,"Randolph County, AR",us-ar-121,0.22420628110873742
143,"St. Francis County, AR",us-ar-123,0.4234717054596543
144,"Saline County, AR",us-ar-125,0.0420708238826592
145,"Scott County, AR",us-ar-127,0.14252985281866148
146,"Searcy County, AR",us-ar-129,0.12085189659768925
147,"Sebastian County, AR",us-ar-131,0.2646864869406837
148,"Sevier County, AR",us-ar-133,0.21998938572965698
149,"Sharp County, AR",us-ar-135,0.18548427281170898
150,"Stone County, AR",us-ar-137,0.17434875008319464
151,"Union County, AR",us-ar-139,0.3064484031447029
152,"Van Buren County, AR",us-ar-141,0.0076773091225330325
153,"Washington County, AR",us-ar-143,0.4095235889342391
154,"White County, AR",us-ar-145,0.011050356525226387
155,"Woodruff County, AR",us-ar-147,0.40617317126985003
156,"Yell County, AR",us-ar-149,0.20319108415534579
157,"Alameda County, CA",us-ca-001,0.034598089245344577
158,"Alpine County, CA",us-ca-003,0.08378445227695619
159,"Amador County, CA",us-ca-005,0.07104097865970657
160,"Butte County, CA",us-ca-007,0.06584800976878621
161,"Calaveras County, CA",us-ca-009,0.06734258536342866
162,"Colusa County, CA",us-ca-011,0.058650560251995165
163,"Contra Costa County, CA",us-ca-013,0.05756959196357547
164,"Del Norte County, CA",us-ca-015,0.14369803529914155
165,"El Dorado County, CA",us-ca-017,0.09738393294097356
166,"Fresno County, CA",us-ca-019,0.1705044177366174
167,"Glenn County, CA",us-ca-021,0.06314653247713156
168,"Humboldt County, CA",us-ca-023,0.10686804856376853
